Alpha,q,delta_e,Output1,Output2,Output3
0.136517293,0.145081516,-0.116670252,0.34721816,0.56096846,-0.48759672
0.133205136,0.145833806,-0.134134987,0.3280246,0.54777825,-0.47023764
0.129996275,0.146194149,-0.121036421,0.33314806,0.5478303,-0.4766923
0.126858293,0.14603117,-0.120105923,0.32870612,0.5425427,-0.47347093
0.12375247,0.145521031,-0.103500113,0.3366869,0.5439516,-0.48236585
0.120755627,0.145643861,-0.107007357,0.32899407,0.53711146,-0.47599158
0.11791948,0.146446178,-0.116670252,0.31676263,0.5281671,-0.4653392
0.115174675,0.146667523,-0.121895346,0.30813488,0.5210752,-0.45798177
0.112460535,0.146420944,-0.098274989,0.32233757,0.52632254,-0.47296906
0.109812563,0.14619711,-0.106148461,0.31172848,0.5180837,-0.46344367
0.107245442,0.1463558,-0.095698243,0.31579146,0.5180616,-0.4685214
0.104920484,0.148181276,-0.113162978,0.2983298,0.50706524,-0.45290545
0.102850974,0.150457768,-0.137570688,0.27583945,0.49370357,-0.43240115
0.100913574,0.151874295,-0.123613197,0.2838405,0.49682346,-0.44161212
0.099068069,0.152699225,-0.113162978,0.2891577,0.49835828,-0.44790602
0.097311666,0.153393079,-0.106148461,0.2918893,0.49851575,-0.4515614
0.095619645,0.153724804,-0.107866282,0.28777996,0.49487093,-0.44829607
0.094019551,0.154488517,-0.094767716,0.29559043,0.49796626,-0.45693165
0.092614909,0.156184772,-0.117529177,0.2754381,0.48627904,-0.43824863
0.091394675,0.15820568,-0.118388073,0.2729546,0.48451856,-0.43706426
0.090346374,0.160142648,-0.125402619,0.26587418,0.48037222,-0.43124136
